GUID,Сегмент,Тип,Тональность,Язык,Приоритет,Рекомендации менеджеру,Вложения,Назначенный Менеджер,Должность,Офис Назначения,Эскалирован,Город_оригинал,Причина_роутинга,AI_Источник,Метод_гео
GUID,Сегмент,Тип,Тональность,Язык,Приоритет,Рекомендации менеджеру,Вложения,Назначенный Менеджер,Должность,Офис Назначения,Эскалирован,Город_оригинал,Причина_роутинга,AI_Источник,Метод_гео
fe44694a-10ed-f011-8406-0022481ba5f0,VIP,Консультация,Нейтральный,RU,10,Клиент интересуется возможностью дробной покупки акций в приложении и просит подсказать последовательность действий. Рекомендуется предоставить подробную инструкцию по данному вопросу.,—,Менеджер 18,Главный специалист,Алматы,Нет,Тургень,Geo:LLM → VIP-сегмент → Высокий приоритет → Round Robin,Gemini,llm
f79259e3-9cf2-f011-8406-0022481ba51f,Mass,Жалоба,Негативный,RU,7,"Клиент сообщает о блокировке счетов и требует срочной разблокировки, выражая недовольство. Необходимо оперативно выяснить причину блокировки и принять меры по ее устранению, связавшись с клиентом.",—,Менеджер 39,Ведущий специалист,Астана,Нет,Красный Яр,Geo:LLM → Высокий приоритет → Round Robin,Gemini,llm
da158b87-f1e9-f011-8406-0022481ba5f0,VIP,Консультация,Нейтральный,RU,10,Клиент запрашивает уточнение по поводу удержания комиссии в размере 50 долларов за обслуживание бездействующих счетов. Необходимо предоставить подробную информацию о правилах и сроках взимания данной комиссии.,—,Менеджер 42,Главный специалист,Усть-Каменогорск,Нет,Усть-Каменогорск,Geo:LLM → VIP-сегмент → Высокий приоритет → Round Robin,Gemini,llm
d8dcd8f8-b4eb-f011-8406-0022481ba388,Mass,Консультация,Нейтральный,RU,5,Клиент интересуется возможностью доступа к ETF KSA или прямой торговле на рынке Tadawul. Необходимо предоставить информацию о доступных инструментах и рынках.,—,Менеджер 51,Ведущий специалист,Кокшетау,Нет,Кокшетау,Geo:LLM → Round Robin,Gemini,llm
cc75c0da-e907-f111-8407-0022481bac13,Mass,Спам,Нейтральный,RU,1,"Обращение является спамом, содержащим рекламное предложение по продаже сварочных агрегатов. Рекомендуется пометить как спам и не обрабатывать.",—,—,—,—,Нет,Костанай,Спам — менеджер не назначается,Gemini,llm
c577d3fd-dafc-f011-8406-0022481ba139,Mass,Неработоспособность приложения,Нейтральный,RU,6,"Клиент не может войти в приложение, так как при попытке смены номера телефона система выдает ошибку 'старый номер не найден'. Необходимо проверить данные клиента и помочь с обновлением номера телефона для восстановления доступа.",—,Менеджер 39,Ведущий специалист,Астана,Нет,Шортанды,Geo:LLM → Round Robin,Gemini,llm
c27f8c40-1ff5-f011-8406-0022481ba15f,Mass,Неработоспособность приложения,Нейтральный,RU,6,"Клиент не может войти в свой аккаунт, так как не приходит SMS-сообщение для восстановления пароля. Необходимо проверить доставку SMS и помочь клиенту восстановить доступ.",—,Менеджер 17,Ведущий специалист,Караганда,Нет,Осакаровка,Geo:LLM → Round Robin,Gemini,llm
be5a4633-fe0a-f111-8407-0022481ba5f0,Mass,Мошеннические действия,Негативный,RU,9,"Клиент запрашивает проверку легитимности компании Money Advisor, подозревая мошеннические действия. Необходимо оперативно связаться с клиентом для уточнения деталей и предоставления официального ответа.",—,Менеджер 6,Ведущий специалист,Павлодар,Нет,Павлодар,Geo:LLM → Высокий приоритет → Round Robin,Gemini,llm
bb54127b-4ef1-f011-8406-0022481ba654,Mass,Спам,Нейтральный,RU,1,"Обращение является спамом, содержащим рекламное предложение по продаже тюльпанов. Рекомендуется пометить как спам и не обрабатывать.",—,—,—,—,Нет,Косшы / Астана,Спам — менеджер не назначается,Gemini,llm
ba61a4e7-f0f1-f011-8406-0022481ba51f,VIP,Смена данных,Нейтральный,RU,10,Клиент запрашивает смену номера телефона. Необходимо связаться с клиентом для проведения процедуры изменения данных.,—,Менеджер 10,Главный специалист,Алматы,Нет,Алматы,Geo:LLM → VIP-сегмент → Высокий приоритет → Главный специалист → Round Robin,Gemini,llm
b44f142b-78c5-4573-9bde-fe0780b2e028,Mass,Неработоспособность приложения,Нейтральный,RU,6,"Клиент столкнулся с ошибкой при оформлении ордера, судя по названию вложения. Необходимо проверить логи системы и связаться с клиентом для уточнения деталей.",order_error.png,Менеджер 14,Специалист,Шымкент,Нет,Шымкент,Geo:LLM → Round Robin,Gemini,llm
b135ab3e-b8ef-f011-8406-0022481ba303,Mass,Смена данных,Нейтральный,RU,6,Клиент не может войти в брокерский счет из-за просроченного удостоверения личности и просит изменить данные. Необходимо помочь клиенту обновить паспортные данные для восстановления доступа.,—,Менеджер 44,Главный специалист,Шымкент,Нет,Ленгер,Geo:LLM → Главный специалист → Round Robin,Gemini,llm
a9f07a3d-a905-f111-8407-0022481baec1,Mass,Смена данных,Нейтральный,RU,6,Клиент запрашивает смену номера телефона. Необходимо связаться с клиентом для верификации и проведения процедуры изменения данных.,—,Менеджер 20,Главный специалист,Актау,Нет,Aktau,Geo:LLM → Главный специалист → Round Robin,Gemini,llm
a154a8e6-439d-4a7b-86e8-56ef94b18ee2,VIP,Жалоба,Негативный,RU,10,VIP-клиент жалуется на частые неверные показатели динамики ценных бумаг. Необходимо оперативно проверить источник данных и предоставить клиенту информацию о сроках исправления.,data_error.png,Менеджер 42,Главный специалист,Усть-Каменогорск,Нет,Усть-Каменогорск,Geo:LLM → VIP-сегмент → Высокий приоритет → Round Robin,Gemini,llm
9c0a1f1e-6702-f111-8407-0022481ba15f,Priority,Консультация,Позитивный,RU,10,Priority-клиент запрашивает номер налогоплательщика компании для уведомления своего налогового органа. Необходимо предоставить клиенту запрашиваемую информацию.,—,Менеджер 44,Главный специалист,Шымкент,Нет,Кентау,Geo:LLM → VIP-сегмент → Высокий приоритет → Round Robin,Gemini,llm
8de250d3-eef5-f011-8406-0022481bac13,Mass,Мошеннические действия,Негативный,RU,9,Клиент подозревает мошеннические действия и просит проверить легитимность сертификата и лиц. Необходимо оперативно провести проверку и предоставить клиенту разъяснения.,—,Менеджер 47,Главный специалист,Павлодар,Нет,Аксу,Geo:LLM → Высокий приоритет → Round Robin,Gemini,llm
85c96430-f0e9-f011-8406-0022481ba51f,VIP,Неработоспособность приложения,Нейтральный,RU,10,"VIP-клиент не может войти в аккаунт, так как система не принимает пароль и не приходят коды восстановления по email и SMS. Необходимо срочно проверить статус аккаунта, логи отправки кодов и помочь клиенту восстановить доступ.",—,Менеджер 18,Главный специалист,Алматы,Нет,Кыргауылды,Geo:LLM → VIP-сегмент → Высокий приоритет → Round Robin,Gemini,llm
80c6ed25-45f0-f011-8406-0022481ba5f0,Mass,Неработоспособность приложения,Нейтральный,RU,6,"Клиент не может зарегистрироваться в приложении Freedom Broker, получая ошибку на первом шаге. Необходимо проверить возможность регистрации для пользователей из России, использующих VPN, и предоставить инструкцию или решение.",—,Менеджер 1,Ведущий специалист,Караганда,Нет,Сарань,Geo:LLM → Round Robin,Gemini,llm
6f860ff9-cc01-f111-8407-0022481ba3d1,VIP,Претензия,Негативный,RU,10,"VIP-клиент угрожает судом и требует вернуть деньги из-за двойного списания комиссии в размере $25 за одну транзакцию. Необходимо немедленно разобраться в ситуации с комиссией, вернуть излишне списанные средства и связаться с клиентом для урегулирования.",—,Менеджер 42,Главный специалист,Усть-Каменогорск,Нет,Кокпекты,Geo:LLM → VIP-сегмент → Высокий приоритет → Round Robin,Gemini,llm
6f129f43-ecfa-f011-8406-0022481bad7e,Mass,Неработоспособность приложения,Позитивный,ENG,6,"The client is unable to complete account verification because their proof of address, issued in Azerbaijani, is being rejected. The client requests alternative document options or a manual review. Please check if an alternative document can be accepted or if a manual review of the Azerbaijani document is possible.",—,Менеджер 11,Ведущий специалист,Алматы,Нет,Алматы,Geo:LLM → Язык:ENG → Round Robin,Gemini,llm
68086831-220b-f111-8407-0022481baa2c,Mass,Консультация,Позитивный,KZ,5,Клиент теңгеге қандай облигацияларды сатып алуға болатынын сұрайды. Менеджерге клиентке қолжетімді облигациялар туралы ақпарат беру ұсынылады.,—,Менеджер 23,Специалист,Атырау,Нет,Индербор,Geo:LLM → Язык:KZ → Round Robin,Gemini,llm
6396447c-daf1-f011-8406-0022481ba303,Mass,Неработоспособность приложения,Нейтральный,ENG,6,Client is blocked in the application due to issues with document upload. Manager should investigate the blocking reason and unblock the client's account.,—,Менеджер 27,Ведущий специалист,Шымкент,Нет,Бадам,Geo:LLM → Язык:ENG → Round Robin,Gemini,llm
5d29d98c-55fb-f011-8406-0022481baa2c,Mass,Неработоспособность приложения,Нейтральный,KZ,6,"Клиенттің облигация сатып алуға берген бұйрығы орындалмаған. Менеджерге бұйрықтың орындалмау себебін анықтап, клиентке түсініктеме беру ұсынылады.",—,Менеджер 21,Специалист,Усть-Каменогорск,Нет,Бескарагай,Geo:LLM → Язык:KZ → Round Robin,Gemini,llm
591d3e1d-ebf8-f011-8406-0022481ba046,Mass,Неработоспособность приложения,Позитивный,ENG,6,"Client from Ukraine is unable to complete registration due to document validation issues, likely related to language. Manager should advise on alternative document submission or validation processes for foreign citizens.",—,Менеджер 20,Главный специалист,Актау,Нет,Шардара,Geo:LLM → Язык:ENG → Round Robin,Gemini,llm
493fd23b-ad01-f111-8407-0022481baec1,Mass,Спам,Нейтральный,RU,1,Обращение является спамом от Московской биржи и АО 'ПЕРВОУРАЛЬСКБАНК' с приглашением на мероприятие. Рекомендуется пометить как спам и не обрабатывать.,—,—,—,—,Нет,Конаев (Капчагай),Спам — менеджер не назначается,Gemini,llm
4071842c-10df-f011-8406-0022481ba2e6,Mass,Претензия,Негативный,RU,8,Клиент сообщает о непоступлении 125$ на счет и требует возврата средств. Необходимо проверить статус перевода и связаться с клиентом для решения вопроса.,—,Менеджер 15,Специалист,Алматы,Нет,Кокпек,Geo:LLM → Высокий приоритет → Round Robin,Gemini,llm
3692ae0e-f5ef-f011-8406-0022481ba5f0,Mass,Неработоспособность приложения,Негативный,RU,6,Клиент не получает SMS-сообщения и требует немедленного решения проблемы. Необходимо проверить систему отправки SMS и статус аккаунта клиента.,—,Менеджер 6,Ведущий специалист,Павлодар,Нет,Аксу,Geo:LLM → Round Robin,Gemini,llm
2a99d51e-7dfb-f011-8406-0022481bac13,Mass,Неработоспособность приложения,Нейтральный,RU,6,Клиент не может зарегистрироваться в приложении и спрашивает причину. Необходимо выяснить причину проблемы с регистрацией и помочь клиенту.,—,Менеджер 14,Специалист,Шымкент,Нет,Туркестан,Geo:LLM → Round Robin,Gemini,llm
16a8690e-4aec-f011-8406-0022481bad7e,VIP,Неработоспособность приложения,Нейтральный,RU,10,Клиент VIP-сегмента не смог произвести оплату картой и интересуется значением фразы «обновить экономический портфель». Необходимо выяснить причину проблемы с оплатой и предоставить консультацию по запросу.,—,Менеджер 22,Главный специалист,Астана,Да,Караганда,Geo:LLM → VIP-сегмент → Высокий приоритет → Round Robin,Gemini,llm
136d32a0-bafd-f011-8406-0022481ba51f,Mass,Претензия,Негативный,RU,8,"Клиент обвиняет компанию в мошенничестве и незаконном удержании 200 EUR, которые не поступили на счет. Требуется немедленно разобраться с переводом и предоставить официальный ответ клиенту.",—,Менеджер 37,Ведущий специалист,Шымкент,Нет,Шымкент,Geo:LLM → Высокий приоритет → Round Robin,Gemini,llm
117af0c4-cb00-f111-8407-0022481ba51f,VIP,Смена данных,Негативный,RU,10,Клиент срочно просит удалить его персональные данные и отозвать согласие на обработку. Необходимо оперативно связаться с клиентом для подтверждения личности и выполнения запроса.,—,Менеджер 43,Главный специалист,Астана,Да,Караганда,Geo:LLM → VIP-сегмент → Высокий приоритет → Главный специалист → Round Robin,Gemini,llm
